model,mode,degradation_pct,label,class_name,precision,recall,f1
baseline,random,25,5,SMB,0.9803,0.9940,0.9871
baseline,random,25,6,Nsis-ay,0.6754,0.9780,0.7990
baseline,random,25,7,Cridex,1.0000,0.8860,0.9396
baseline,random,25,8,Zeus,0.8737,0.8300,0.8513
baseline,random,25,9,Miuref,0.8719,0.7620,0.8132
baseline,random,25,10,MySQL,1.0000,1.0000,1.0000
baseline,random,25,11,Virut,0.6280,0.8980,0.7391
baseline,random,25,12,Weibo,0.9939,0.9780,0.9859
baseline,random,25,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,random,25,14,Outlook,0.9980,1.0000,0.9990
baseline,random,25,15,Facetime,0.9980,1.0000,0.9990
baseline,random,25,16,Tinba,0.9980,0.9940,0.9960
baseline,random,25,17,FTP,1.0000,1.0000,1.0000
baseline,random,25,18,Htbot,0.9719,0.8300,0.8954
baseline,random,25,19,Skype,1.0000,1.0000,1.0000
baseline,random,50,0,Shifu,0.9980,1.0000,0.9990
baseline,random,50,1,Geodo,0.9968,0.6160,0.7614
baseline,random,50,2,BitTorrent,0.9980,1.0000,0.9990
baseline,random,50,3,Gmail,0.9960,1.0000,0.9980
baseline,random,50,4,Neris,0.8739,0.7900,0.8298
baseline,random,50,5,SMB,0.9778,0.9700,0.9739
baseline,random,50,6,Nsis-ay,0.5997,0.9440,0.7335
baseline,random,50,7,Cridex,0.9977,0.8580,0.9226
baseline,random,50,8,Zeus,0.8411,0.7620,0.7996
baseline,random,50,9,Miuref,0.8773,0.7580,0.8133
baseline,random,50,10,MySQL,1.0000,1.0000,1.0000
baseline,random,50,11,Virut,0.5508,0.8680,0.6739
baseline,random,50,12,Weibo,0.9721,0.9760,0.9741
baseline,random,50,13,WorldOfWarcraft,1.0000,1.0000,1.0000
baseline,random,50,14,Outlook,1.0000,1.0000,1.0000
baseline,random,50,15,Facetime,0.9960,1.0000,0.9980
baseline,random,50,16,Tinba,0.9980,0.9940,0.9960
baseline,random,50,17,FTP,0.9980,0.9980,0.9980
baseline,random,50,18,Htbot,0.9568,0.6640,0.7839
baseline,random,50,19,Skype,1.0000,1.0000,1.0000
baseline,random,75,0,Shifu,0.9960,1.0000,0.9980
baseline,random,75,1,Geodo,0.9968,0.6140,0.7599
baseline,random,75,2,BitTorrent,0.9881,1.0000,0.9940
baseline,random,75,3,Gmail,0.9653,1.0000,0.9823
baseline,random,75,4,Neris,0.8348,0.7380,0.7834
baseline,random,75,5,SMB,0.9691,0.8780,0.9213
baseline,random,75,6,Nsis-ay,0.5086,0.9460,0.6615
baseline,random,75,7,Cridex,1.0000,0.7640,0.8662
baseline,random,75,8,Zeus,0.8712,0.7440,0.8026
baseline,random,75,9,Miuref,0.8681,0.7500,0.8047
baseline,random,75,10,MySQL,1.0000,0.9960,0.9980
baseline,random,75,11,Virut,0.4793,0.7860,0.5955
baseline,random,75,12,Weibo,0.9054,0.9380,0.9214
